description,decade,polityid,official-human,official-human-retry,human1,human2,gpt4,Llama3.1large,mistral-large2411,run1-llama3.1,run2-llama3.1,run3-llama1.3,run1-gpt4,run2-gpt4,run3-gpt4
"the mexican population (creoles white landowners + mestizos + catholic priests + indigenous) obtains independence from the previous elite (spaniards) with the  Treaty of Córdoba. Federal constitution. Bazant, Jan. ""From Independence to the Liberal Republic, 1821-1867"" in Mexico Since Independence, Leslie Bethell, ed. Cambridge: Cambridge University Press 1991, pp. 1-3",1820,MxMexRe,1,1,1,1,1,1,0,1,1,1,1,1,0
the new elite is military. General Santa Anna abrogates the federal constitution to centrlaize the state. there are insurgencies and Texas becomes independent.,1830,MxMexRe,1,1,2,1,1,1,1,1,1,1,1,1,1
mexican-american war. US wins. mexico loses territories and people.,1840,MxMexRe,1,2,3,2,0,0,0,2,2,2,2,2,1
"sale of northern territories to the US to refund the state and army. outrage against president general Santa Anna. liberals force him into exile and begin plan of ayutla reforms. Pani, Erika. ""Revolution of Ayutla"" in Encyclopedia of Mexico Chicago: Fitzroy Dearborn 1997, p. 119.",1850,MxMexRe,1,2,4,2,1,1,1,2,2,2,2,2,2
French intervention in Mexico with new french liberal elite with emperor Maximilian that contiues the reform and exploit commercial raw material and routes until the US finish the civil war and ask french to leave.,1860,MxMexRe,2,3,4,2,2,1,3,3,3,3,3,3,2
"president  Porfirio Díaz starts reforms to improve rule by law suppression of violence and modernization of the country. the new elite are again mexican technocrats. William Beezley, and Michael Meyer, eds. The Oxford History of Mexico (2nd ed. 2010) ch 13.",1870,MxMexRe,2,3,0,3,2,2,1,3,3,3,3,3,3
in the north there were factories producing machinery textiles and beer while smelters processed ores like copper. urban Mexicans debated national identity the rejection of indigenous cultures the new passion for French culture. commerce with US was good.,1880,MxMexRe,3,4,1,3,3,2,1,4,4,4,4,4,3
Population growth and concentration of land in a few families generated a commercial expansion that undercut the south and the villages,1890,MxMexRe,3,4,2,4,3,3,2,4,4,4,4,4,4
"villagers expressed their rage in revolutionary assaults on local rich elites. The young men were radicalized and wanted traditional roles regarding land community and patriarchy. John Tutino, ""From Involution to Revolution in Mexico: Liberal Development, Patriarchy, and Social Violence in the Central Highlands, 1870–1915,"" History Compass (2008) pp 796–842.",1900,MxMexRe,4,4,3,4,4,3,2,4,4,4,4,4,4
riots brake out after the fraud election of president Diaz who resigned. his oppositor was killed and political instability led to civil war. US supported federal constitutionalists. that went to the power with The Mexican Constitution of 1917.,1910,MxMexRe,0,0,4,0,0,4,0,0,0,0,0,0,4
the new president Obregòn started new reforms as the integration of organized labor into political life the improvement of education and international diplomacy. counter revolution to stop anticlericalism (cristero war) is resolved diplomaticlly with reforms and the help of US.,1920,MxMexRe,1,1,0,1,1,1,1,1,1,1,1,1,0
"founded the PNR (then PRI) the first left party of Mexico. nationalization of oil company. propaganda by nazi and fascist regimes. Mexico sells oil to Germany and Italy. Smith, Peter H. (April 1996). Talons of the Eagle: Dynamics of U.S. – Latin American Relations (2nd ed.). Oxford University Press, USA. p. 79",1930,MxMexRe,1,1,1,1,1,1,2,1,1,1,1,1,1
"president Camacho stopped autarchy. good relations with US, the Bracero Program started mexican immigrant workers to the US. Mexico was against germany and hosted spanish jews. minor combat in ww2 with the Escuadrón 201 also known as the Aztec Eagles",1940,MxMexRe,2,1,1,1,2,2,1,2,2,2,2,2,1
political turn to right wing. great private industrialization in the north. Green Revolution aimed at expanding commercially oriented highly mechanized agribusiness in the south.,1950,MxMexRe,2,2,2,1,2,2,1,2,2,2,2,2,2
"growth of exports to the U.S. of high value fruits and vegetables, with rural credit going to large producers, not peasant agriculture. prices kept artificially low.",1960,MxMexRe,3,2,2,2,3,3,1,3,3,3,3,3,2
economic crises due to inflation and high debts. nationalization of mexico bank. devaluation of peso after strong inflation. Robert E. Looney (1985). Economic Policymaking in Mexico: Factors Underlying the 1982 Crisis. Duke University Press. p. 46,1970,MxMexRe,3,3,3,3,3,3,2,3,3,3,3,3,3
strong earthquake in 1985 inflicting severe damage on Mexico City. begin of political instability. 1988 elections had fraudulent results with infiltrations by narcos.,1980,MxMexRe,4,3,4,4,4,4,3,4,4,4,4,4,3
"president Zedillo faced the Mexican peso crisis. Military presence after the 1994 rising of the Zapatista Army of National Liberation in Chiapas. Beginning of electoral and economic reforms with US that buys Mexican debt, repaid by 2000. Julia Preston; Samuel Dillon (2005). Opening Mexico: The Making Of A Democracy. Macmillan. p. 25 ",1990,MxMexRe,4,4,4,0,4,4,3,4,4,4,4,4,4
president Hinojosa won in 2006 the most hotly contested elections in Mexico history and begun the mexico drug war against narcos.,2000,MxMexRe,4,4,4,1,0,4,4,4,4,4,0,0,4
"president Nieto returned the PRI to power. They called for education reform, banking reform, fiscal reform but in the end the results were modest. national monopoly of oil is the main source of income for Mexico.",2010,MxMexRe,4,0,0,1,1,4,4,0,0,0,1,1,0
"The Later Jin dynasty was founded by a confederation of Jurchen tribes from Manchuria. They defeated Liao in 1115 and Northern Song in 1127. Originally warlords, the Later Jin slowly adapted to Han customs. Emperor Taizong of Jin gave ironic titles of nobility to the captured former Song emperors. Merchants continued to produce much of the wealth.",1130,CnLrJin,1,1,1,1,0,1,0,1,1,1,1,1,1
"Emperor Xizong of Jin (r. 1135-1150) several military campaigns against the Han-led Southern Song dynasty in southern China and arrived at a treaty and gained a tribute. he was was overthrown and murdered by his chancellor, Wanyan Liang, in a coup in 1150",1140,CnLrJin,1,1,1,1,1,1,1,1,1,1,2,1,2
"The Jin territory included part of Korea in northeast Asia, and Uighur and Tibetan land in western China. In 1153 Wanyan Liang moved its capital from Manchuria to modern-day Beijing and starts a sinicization process of the imperial government to make it accepted as legitimate by Chinese Confucian scholars. imperial examinations offered in the Jurchen language.",1150,CnLrJin,2,2,2,1,1,2,1,2,2,2,2,2,2
"In 1161, after the Jin dynasty lost the Battle of Caishi against the Southern Song dynasty, Wanyan Liang was deposed and killed. ",1160,CnLrJin,2,2,3,2,2,2,3,2,2,2,3,2,3
Emperor Shizong (r. 1161-1189) confiscated unused land from Jurchen landowners and redistributed to the Jurchen farmers but they preferred to lease the work to Chinese farmers and engage in drinking instead. in 1175 paper factory in Hangzhou employed more than a thousand Chinese workers. Integrtion problems (language and customs),1170,CnLrJin,3,3,3,2,2,3,2,3,3,3,3,3,3
The Wealthy Jurchens feasted and drank and wore damask and silk. Emperor Shizong of Jin tried to revive ancient Jurchen traditions. in 1188 he prohibited Jurchens from wearing Han Chinese clothes.,1180,CnLrJin,3,3,3,3,3,3,2,3,3,3,4,3,4
Emperor Zhangzong of Jin established many Confucian temples and was tolerant of both Han and Jurchen cultures. However he started showing favoritism to one of his concubines family members in political office. The Mongol Tatars who once allied with the Jin dynasty rebelled and joined the rising Mongol Empire. ,1190,CnLrJin,3,4,4,3,3,4,3,4,4,4,4,4,4
"many Jurchen people moved from Manchuria into China during Jin rule, The population of the Jin dynasty was between 45 million and 54 million people in 1200. By the end of the 12th century, convertibility of paper money into coins was suspended, starting a fiat money policy (currency not backed by real goods).",1200,CnLrJin,3,4,4,3,4,4,2,4,4,4,4,4,4
This period was marked by conflict with the Southern Song and the Mongols. The Later Jin Jurchen government also struggled with economic inflation and flooding.,1210,CnLrJin,4,4,4,4,4,4,3,4,4,4,0,4,0
declining state of the Jin dynasty under Emperor Zhangzong of Jin and his successor Wanyan Yongji ,1220,CnLrJin,4,4,4,4,0,4,3,4,0,0,0,4,0
"In 1233, the Later Jin dynasty was conquered by Mongol forces of Ögedei Khan, successor of Gengis Kahn, who then ruled over Mongolia and China as the Yuan dynasty.",1230,CnLrJin,0,0,0,0,0,0,0,0,1,0,0,0,0
