dataset,polity,avgtime,t_infomedia,t_techmilitary,t_warfare,t_communication,t_economy,t_infrastructure,t_politics,t_religion_moral,t_agriculturetech,t_alphabeth,SCALE,GOV,HIER
chronos,PkGhue*,1200,0.40,0.50,0.40,0.20,0.30,0.50,0.00,0.50,0.20,0.20,0.756934,0.623206,0.356388
chronos,AfHptn*,487,0.40,0.50,0.40,0.10,0.30,0.45,0.00,0.45,0.40,0.20,0.723584,0,0.200658
chronos,AfKshe*,198,0.30,0.50,0.35,0.05,0.30,0.50,0.00,0.60,0.30,0.20,0.6862002105,0.623206,0.317813
chronos,CnHanee,16,0.40,0.45,0.40,0.29,0.34,0.48,0.00,0.60,0.30,0.10,0.7959310435,0.921174,0.5333641304
chronos,CnEjnk*,295,0.40,0.45,0.40,0.30,0.29,0.50,0.00,0.60,0.30,0.10,0.7498392667,0.745073,0.578695
chronos,CnErgk*,-1446,0.20,0.30,0.21,0.10,0.20,0.34,0.00,0.20,0.20,0.10,0.5757047879,0.246798,0.255004
chronos,CnErtk*,-1748,0.20,0.26,0.20,0.10,0.20,0.30,0.00,0.20,0.20,0.10,0.4423260714,0.246798,0.2620254286
chronos,CnJsak*,-629,0.40,0.36,0.40,0.20,0.20,0.40,0.05,0.24,0.20,0.10,0.6457859667,0.812042,0.302519
chronos,CnLshcm,-2453,0.15,0.20,0.20,0.10,0.15,0.20,0.00,0.20,0.20,0.10,0.3020577667,0,0.138327
chronos,CnQine*,483,0.45,0.50,0.40,0.20,0.30,0.40,0.00,0.60,0.20,0.10,0.7979295,0.722889,0.4017935
chronos,CnMnge*,1505,0.40,0.60,0.40,0.25,0.37,0.50,0.00,0.60,0.30,0.10,0.8139485357,0.810157,0.4973
chronos,CnSnge*,1041,0.40,0.58,0.40,0.30,0.36,0.50,0.00,0.60,0.30,0.10,0.7940642353,1,0.635149
chronos,CnNwek*,468,0.40,0.45,0.40,0.20,0.30,0.50,0.00,0.60,0.30,0.10,0.7406251667,0.549042,0.425551
chronos,CnQngee,1720,0.40,0.60,0.40,0.30,0.40,0.50,0.10,0.60,0.30,0.10,0.8640416667,0.718423,0.628795
chronos,CnQngel,1854,0.49,0.60,0.40,0.30,0.43,0.54,0.10,0.60,0.30,0.10,0.896843,0.907614,0.652553
chronos,CnShae*,-1171,0.30,0.30,0.30,0.12,0.20,0.35,0.00,0.20,0.20,0.10,0.5818578333,0.430427,0.2903644167
chronos,CnSuik*,592,0.40,0.50,0.40,0.25,0.30,0.50,0.00,0.60,0.30,0.10,0.7629671667,0.824355,0.356388
chronos,CnTngel,762,0.40,0.54,0.40,0.30,0.30,0.50,0.00,0.60,0.30,0.10,0.8009427857,1,0.431905
chronos,CnTngee,762,0.40,0.50,0.40,0.30,0.30,0.50,0.00,0.60,0.30,0.10,0.8006348,1,0.542229
chronos,CnWwsk*,-351,0.45,0.44,0.40,0.20,0.26,0.40,0.05,0.60,0.20,0.10,0.6672339167,0.733216,0.371682
chronos,CnHanel,11,0.40,0.45,0.40,0.30,0.35,0.50,0.00,0.60,0.30,0.10,0.7631328571,0.921174,0.518472
chronos,CnWzhe*,-930,0.39,0.30,0.30,0.15,0.11,0.35,0.05,0.20,0.20,0.10,0.6632974444,0.627706,0.39544
chronos,CnYngcm,-3873,0.10,0.06,0.10,0.00,0.00,0.15,0.09,0.20,0.20,0.10,0.19899358,0,0.108215
chronos,CnLjne*,1249,0.40,0.60,0.40,0.25,0.40,0.50,0.05,0.60,0.30,0.10,0.8126699091,1,0.371682
chronos,EcJvrcl,1830,0.00,0.52,0.20,0.00,0.26,0.10,0.05,0.35,0.20,0.00,0.1597610857,0,0.047515
chronos,EcJvrce,1621,0.00,0.20,0.20,0.00,0.10,0.10,0.05,0.35,0.20,0.00,0.1247906667,0,0.077626
chronos,EgAyye*,1212,0.40,0.50,0.40,0.15,0.30,0.45,0.00,0.50,0.40,0.20,0.695138,0.817059,0.419197
chronos,EgBdrce,-4178,0.05,0.10,0.10,0.00,0.10,0.10,0.05,0.10,0.35,0.00,0.0680942,0,0
chronos,EgDynkl,-2781,0.30,0.20,0.25,0.10,0.20,0.40,0.00,0.40,0.35,0.10,0.5170139091,0.095253,0.255004
chronos,EgDynke,-3013,0.29,0.20,0.20,0.10,0.18,0.40,0.00,0.39,0.35,0.08,0.4872545,0.095253,0.255004
chronos,EgOcck*,-372,0.40,0.40,0.40,0.20,0.30,0.40,0.00,0.45,0.35,0.10,0.587538,0.618774,0.380145
chronos,EgMamke,1354,0.40,0.50,0.40,0.20,0.30,0.50,0.00,0.50,0.40,0.20,0.6918478182,0.821123,0.565986
chronos,EgMamkl,1457,0.40,0.57,0.40,0.20,0.30,0.50,0.05,0.50,0.40,0.20,0.7022997692,0.8280028846,0.5257818462
chronos,EgMidk*,-1865,0.38,0.30,0.25,0.10,0.20,0.45,0.00,0.40,0.35,0.10,0.5682227097,0.72024,0.285116
chronos,EgNaqcm,-3416,0.15,0.20,0.15,0.10,0.15,0.40,0.05,0.25,0.35,0.00,0.31410545,0.175501,0.092921
chronos,EgNaqcl,-3216,0.20,0.20,0.20,0.10,0.15,0.40,0.05,0.25,0.35,0.00,0.3730453333,0.175501,0.092921
chronos,EgNaqce,-3666,0.10,0.20,0.10,0.00,0.15,0.20,0.05,0.26,0.35,0.00,0.2421582,0,0.039052
chronos,EgNewke,-1418,0.40,0.30,0.30,0.10,0.20,0.45,0.05,0.41,0.37,0.10,0.6172292353,0.623206,0.419197
chronos,EgNewkl,-1188,0.40,0.30,0.35,0.10,0.20,0.45,0.05,0.40,0.37,0.10,0.655648,0.623206,0.380145
chronos,EgOldkl,-2253,0.30,0.30,0.25,0.10,0.20,0.45,0.00,0.40,0.35,0.10,0.569438,0.650998,0.449308
chronos,EgOldke,-2503,0.30,0.20,0.25,0.10,0.20,0.45,0.00,0.41,0.35,0.10,0.569438,0.650998,0.3866536765
chronos,EgPtlkl,-115,0.40,0.50,0.40,0.20,0.30,0.49,0.00,0.40,0.35,0.30,0.640263,0.907614,0.48836
chronos,EgRegk*,-2090,0.35,0.30,0.25,0.10,0.20,0.40,0.00,0.40,0.35,0.10,0.551954,0.72024,0.255004
chronos,EgSaie*,-596,0.40,0.40,0.35,0.10,0.20,0.45,0.05,0.40,0.35,0.10,0.5901305385,0.622837,0.356388
chronos,EgThbke,-1322,0.40,0.30,0.35,0.10,0.20,0.45,0.05,0.40,0.35,0.10,0.57949,0.618774,0.308873
chronos,EgThbkl,-878,0.40,0.30,0.35,0.10,0.20,0.45,0.05,0.40,0.35,0.10,0.5860028421,0.430427,0.308873
chronos,EgTulk*,902,0.40,0.50,0.40,0.20,0.30,0.50,0.00,0.50,0.40,0.20,0.6599415,0.54438,0.434491
chronos,FrAtlcm,-1678,0.10,0.30,0.15,0.00,0.20,0.30,0.00,0.20,0.30,0.00,0.5346825333,0,0.069163
chronos,FrBkrc*,-2708,0.10,0.20,0.15,0.00,0.16,0.25,0.05,0.10,0.25,0.00,0.4566036122,0,0.039052
chronos,FrBurkl,1727,0.50,0.60,0.40,0.27,0.45,0.50,0.00,0.55,0.30,0.30,0.6858730769,0.90355,0.630904
chronos,FrBurke,1624,0.45,0.60,0.40,0.24,0.30,0.50,0.00,0.50,0.30,0.30,0.657614,0.90355,0.583389
chronos,FrCapkl,1232,0.45,0.50,0.40,0.10,0.30,0.45,0.00,0.50,0.30,0.30,0.53568024,0.90404,0.39544
chronos,FrCapke,1076,0.32,0.50,0.40,0.10,0.30,0.45,0.00,0.50,0.30,0.30,0.4756620417,0.254927,0.3008918333
chronos,FrCarke,788,0.35,0.50,0.40,0.00,0.30,0.45,0.10,0.50,0.30,0.30,0.6323264,0.351746,0.263467
chronos,FrHoref,896,0.40,0.50,0.40,0.10,0.30,0.50,0.07,0.50,0.30,0.30,0.6103285667,0.526877,0.33263
chronos,GeHalct,-544,0.05,0.35,0.30,0.00,0.20,0.39,0.00,0.15,0.30,0.30,0.5963700909,0,0.162084
chronos,GeHalcm,-807,0.10,0.30,0.25,0.00,0.20,0.23,0.00,0.15,0.30,0.00,0.5473451667,0.03284416667,0.1612342778
chronos,GeHalcl,-651,0.05,0.35,0.30,0.00,0.20,0.30,0.00,0.15,0.30,0.00,0.580811,0,0.162084
