gemini 1.5 flash

decade,polityid,sdtphase,explanation
1950,GeEurri,1,"(growth)"
1960,GeEurri,1,"(growth)"
1970,GeEurri,2,"(immiseration)"
1980,GeEurri,2,"(immiseration)"
1990,GeEurri,3,"(elite overproduction)"
2000,GeEurri,3,"(elite overproduction)"
2010,GeEurri,4,"(state stress)"
1950,CnPrcr*,0,"(crisis)"
1960,CnPrcr*,0,"(crisis)"
1970,CnPrcr*,1,"(growth)"
1980,CnPrcr*,1,"(growth)"
1990,CnPrcr*,2,"(immiseration)"
2000,CnPrcr*,2,"(immiseration)"
2010,CnPrcr*,3,"(elite overproduction)"
1820,MxMexRe,1,"(growth)"
1830,MxMexRe,4,"(state stress)"
1840,MxMexRe,0,"(crisis)"
1850,MxMexRe,1,"(growth)"
1860,MxMexRe,1,"(growth)"
1870,MxMexRe,2,"(immiseration)"
1880,MxMexRe,2,"(immiseration)"
1890,MxMexRe,3,"(elite overproduction)"
1900,MxMexRe,4,"(state stress)"
1910,MxMexRe,0,"(crisis)"
1920,MxMexRe,1,"(growth)"
1930,MxMexRe,1,"(growth)"
1940,MxMexRe,1,"(growth)"
1950,MxMexRe,2,"(immiseration)"
1960,MxMexRe,2,"(immiseration)"
1970,MxMexRe,2,"(immiseration)"
1980,MxMexRe,4,"(state stress)"
1990,MxMexRe,4,"(state stress)"
2000,MxMexRe,4,"(state stress)"
2010,MxMexRe,4,"(state stress)"
1130,CnLrJin,1,"(growth)"
1140,CnLrJin,1,"(growth)"
1150,CnLrJin,1,"(growth)"
1160,CnLrJin,4,"(state stress)"
1170,CnLrJin,1,"(growth)"
1180,CnLrJin,2,"(immiseration)"
1190,CnLrJin,2,"(immiseration)"
1200,CnLrJin,2,"(immiseration)"
1210,CnLrJin,4,"(state stress)"
1220,CnLrJin,4,"(state stress)"
1230,CnLrJin,0,"(crisis)"
1240,MnMngKh,1,"(growth)"
1250,MnMngKh,1,"(growth)"
1260,MnMngKh,4,"(state stress)"
1270,MnMngKh,4,"(state stress)"
1280,CnYuan*,1,"(growth)"
1290,CnYuan*,2,"(immiseration)"
1300,CnYuan*,2,"(immiseration)"
1310,CnYuan*,4,"(state stress)"
1320,CnYuan*,4,"(state stress)"
1330,CnYuan*,4,"(state stress)"
1340,CnYuan*,4,"(state stress)"
1350,CnYuan*,4,"(state stress)"
1360,CnYuan*,0,"(crisis)"
-750,ItRomRg,1,"(growth)"
-740,ItRomRg,1,"(growth)"
-730,ItRomRg,1,"(growth)"
