seshat_long_name,seshat_polities,chronos_polities,seshat_century,chronos_century,pop,terr,popcap,geo,ecothreat1,ecothreat2,heterogeneity,genderstructure,complexity,socialstructure,moralizingreligion
Hephthalites,AfHepht,AfHptn*,500.0,500.0,26500000.0,2700000.0,100000.0,0.0,0.2,,,0.2,0.224191,0.15,0.69230769230769229
Eastern Han Empire,CnEHan*,CnHanel,100.0,100.0,23244000.0,4810000.0,309000.0,0.05,0.85,1.0,,0.2,0.759863,0.2,0.84615384615384615
Erligang,CnErlig,CnErgk*,-1500.0,-1400.0,1738000.0,340000.0,69000.0,0.05,0.6,0.2,,0.2,0.32596043750000009,0.15,0.0
Erlitou,CnErlit,CnErtk*,-1800.0,-1700.0,558000.0,15000.0,37000.0,0.05,0.3,0.8,,0.2,0.30090421428571423,0.15,0.0
Chu Kingdom - Spring Autumn Period,CnJinSA,CnJsak*,-600.0,-600.0,21364000.0,160000.0,152000.0,0.05,1.7,0.1,,0.2,0.62050956666666657,0.2,0.46153846153846156
Longshan,CnLngsh,"CnLshcl, CnLshcm, CnLshce",-2500.0,-2400.0,98000.0,2000.0,23000.0,0.05,1.2000000000000002,1.1,,0.2,0.12208750450450447,0.15,0.0
Jin Dynasty,CnLrJin,CnGjne*,1200.0,1200.0,66763000.0,3600000.0,902000.0,0.05,0.35,0.4,0.30000000000000004,0.2,0.76518700000000028,0.2,0.69230769230769229
Great Ming,CnMing*,"CnMngel, CnMngee",1500.0,1500.0,105907000.0,4011000.0,540000.0,0.05,1.1500000000000001,1.2,,0.2,0.71343432142857144,0.2,0.76923076923076927
Northern Song,CnNSong,CnSnge*,1000.0,1000.0,56439000.0,2741000.0,730000.0,0.05,1.05,0.4,0.60000000000000009,0.2,0.8410363529411764,0.2,0.69230769230769229
Northern Wei,CnNWei*,CnNwek*,500.0,500.0,22262000.0,1278000.0,599000.0,0.05,1.4000000000000001,0.5,0.4,0.2,0.55549627777777788,0.17222222222222225,0.84615384615384615
Early Qing,CnQingE,CnQngee,1700.0,1700.0,170592000.0,10667000.0,803000.0,0.05,0.5,0.8,,0.2,0.72237526666666663,0.2,0.76923076923076927
Late Qing,CnQingL,CnQngel,1900.0,1900.0,357967000.0,12636000.0,998000.0,0.05,1.1,0.65,,0.2,0.82617627272727268,0.2,0.76923076923076927
Late Shang,CnShang,CnShakl,-1200.0,-1200.0,4931000.0,816000.0,14000.0,0.05,0.95000000000000018,0.60000000000000009,,0.2,0.41820944,0.198,0.076923076923076927
Sui Dynasty,CnSui**,CnSuik*,600.0,600.0,28231000.0,2400000.0,561000.0,0.05,0.39999999999999997,0.2,,0.2,0.6674483333333332,0.2,0.84615384615384615
Tang Dynasty I,CnTangE,CnTngee,700.0,700.0,35014000.0,4753000.0,840000.0,0.05,0.70000000000000007,0.2,,0.2,0.81392839999999989,0.2,0.84615384615384615
Tang Dynasty II,CnTangL,CnTngel,800.0,800.0,44040000.0,3329000.0,998000.0,0.05,0.90000000000000013,0.8,,0.2,0.78100935714285724,0.2,0.84615384615384615
Western Han Empire,CnWHan*,CnHanee,-100.0,-100.0,35673000.0,10114000.0,340000.0,0.05,0.5,0.60000000000000009,0.2,0.2,0.77230404545454545,0.2,0.84615384615384615
Western Zhou,CnWZhou,CnWzhe*,-1000.0,-900.0,12063000.0,846000.0,97000.0,0.05,0.9,0.7,,0.2,0.56290051851851863,0.2,0.38461538461538464
Yangshao,CnYngsh,"CnYngcl, CnYngcm, CnYngce",-4000.0,-4000.0,25000.0,1000.0,2000.0,0.05,,,0.2,0.13731343283582081,0.081833557213930333,0.1,0.0
Mongol Empire,CnYuan*,MnMkhe*,1300.0,1300.0,77595000.0,21415000.0,717000.0,0.0,1.4,1.2,,0.2,0.61716861538461543,0.2,0.76923076923076927
